produto;categoria;descricao;tipos;label;subcategoria;marca;fabricante
1510745108909725123;Distilled Spirits;MARGARITAVILLE GOLD TEQUILA 6/1.75L 80PF;Distilled Spirits;;Tequila / Mezcal;Margaritaville Gold Tequila;Sazerac Spirits
5345230559010978916;Distilled Spirits;PAUL MASSON MANGO BRANDY 24/200ML 54PF;Distilled Spirits;;Brandy / Cognac;Paul Masson Brandy VS;Sazerac Spirits
552011051156182835;Wine;MELIOR ROBLE 2018;Wine < 14 %;Close Out;Red Wine;Melior Roble;Matarromera
5575496010625421621;Distilled Spirits;CHATEAU MONET RASPBERRY LIQUEUR 12/750ML 33PF;Distilled Spirits;;Liqueurs & Cordials;Chateau Monet Raspberry Liqueur;Sazerac Spirits
3048409779558813892;Non-Alcohol;SPARKLING ICE ORANGE/MANGO COLOR WRAPPED 12/17 NR;Non Alcohol;Core;Water;Sparkling Ice Orange Mango;Talking Rain
4462414734103336033;Wine;CUPCAKE PINOT NOIR (BTL);Wine < 14 %;Discontinued;Red Wine;Cupcake Pinot Noir;National - The Wine Group
4852366248915737434;Distilled Spirits;OLD HARBOR VODKA;Distilled Spirits;Close Out;Vodka;Old Harbor Vodka;Skubic Enterprises
6094683420554834100;Package;ELYSIAN NIGHT OWL PUMPKIN ALE 2/12/12 LN;Package;Fall Seasonal;Specialty;Elysian Night Owl Pumpkin Ale;AB Anheuser Busch Inc
7580983275181534429;Distilled Spirits;OLD HARBOR WHITE RUM;Distilled Spirits;Close Out;Rum;Old Harbor White Rum;Skubic Enterprises
3704420381730704504;Package;BASS 4/6/12 LN;Package;;Ale;Bass Pale Ale;AB Anheuser Busch Inc
5058965910702505159;Wine;CHARLES PERE ET FILLE BOURGOGNE HCDB LA COMBOTTE ROUGE 20;Wine > 14 %;Discontinued;Red Wine;Charles Pere et Fille Bourgogne Hautes Cotes De Beaune La Combotte;French Libations
2354290559205542071;Distilled Spirits;BANK NOTE 5 YEAR BLENDED SCOTCH 1.75ML;Distilled Spirits;Core;Scotch Whisky;Bank Note Blended Scotch 5 Year;Pacific Edge Wine & Spirits
5419419447481524623;Wine;SILLARES ALMANSA ROBLE RED 2016;Wine < 14 %;Discontinued;Red Wine;Sillares Almansa Roble Red;Bottle Diplomacy
5089058737008130224;Package;DESCHUTES BREWING BLACK BUTTE PORTER 4/6 CN;Package;Core;Stout & Porter;Deschutes Brewing Black Butte Porter;Deschutes Brewing Company
8906075601530179987;Distilled Spirits;BLANTON'S GOLD BOURBON 6/750ML 103PF;Distilled Spirits;Allocated;Bourbon Whiskey;Blanton Gold Kentucky Straight Bourbon Whiskey;Sazerac Spirits
6255726625715452854;Distilled Spirits;RY3 TOASTED BARREL;Distilled Spirits;Core;Other Spirits;Ry3 Toasted Barrel;Phenomenal Spirits, Inc.
4133650599746983219;Wine;BROWNSTONE CABERNET SAUVIGNON;Wine < 14 %;Core;Red Wine;Brownstone Cabernet Sauvignon;Scotto Cellars
4223504604960905933;Non-Alcohol;ALANI MIMOSA ENERGY DRINK 12PK CN;Non Alcohol;Core;Energy;Alani Nu Orange Kiss;Congo Brands
6151365857618293332;Wine;FRED PIEMONTE DOC BARBERA 2019;Wine < 14 %;Discontinued;Red Wine;Fred Piemonte DOC Barbera;Fred
6639160929713360106;Wine;MAISON FOUCHER CHINON LE BON BRETON 2018;Wine < 14 %;Discontinued;Red Wine;Maison Foucher Chinon Le Bon Breton;Dns Wines
6979179152487638366;Package;TX RANCH WATER VARIETY 2/12 CN;Package;Core;Other Package;TX Ranch Water Variety Pack;MPL Brands NV/Patco
3873048465439397071;Distilled Spirits;99 SALTED CARAMEL 10/12/50ML 99PF;Allocated Spirits;;Liqueurs & Cordials;99 Salted Carmel;Sazerac Spirits
310477017995179797;Draft;FIRE MAKER HER SOUL IS ROYALTY 1/6 KEG;Draft;In&Out;Pale Ale;Fire Maker Her Soul is Royalty;Fire Maker Brewing Co
6912235881284486154;Package;NB MURAL AGUA FRESCA VARIETY 2/12 CN;Package;Discontinued;Other Package;New Belgium Mural Fresca Variety;NB New Belgium
429899560722414952;Draft;DRY COUNTY LECHUZA 1/2 KEG;Draft;Core;Lager / Pilsner;Dry County Lechuza Classic;Dry County Brewing Co
957725966576550860;Package;DRY COUNTY OLD 41 OATMEAL STOUT 4/6 CAN;Package;Core;Stout & Porter;Dry County Old 41 Oatmeal Stout;Dry County Brewing Co
4767606491760814360;ABA Spirits;SAZERAC STROYSKI VODKA WNBS 12/100ML 42PRF;Wine > 14 %;Discontinued;Other ABA Spirits;Sazerac Stroyski Vodka;Sazerac ABA
5640896758095262342;Draft;TANTRUM FOLKLORE 1/2 KEG;Draft;Discontinued;Pale Ale;Tantrum Folklore;Tantrum Brewing Co
4452103315546406037;Non-Alcohol;WIGLE COCKTAIL MIXER NO. 1 750ML;Non Alcohol;Close Out;Mixers;Cocktail Mixer No. 1;Wigle
1310882612525744659;Package;YUENGLING LIGHT 24/12 LNNR;Package;Core;Lager;Yuengling Light Lager;Yuengling
6762099765978235441;Package;FOUR PEAKS KILT LIFTER ALE 4/6/12 LN;Package;;Ale;Four Peaks Kilt Lifter;AB Anheuser Busch Inc
8108931452340276443;Distilled Spirits;THE CLUB MANHATTAN 24/200ML CN 34PF;Distilled Spirits;;Ready-to-Drink;The Club Pina Colada RTD;Sazerac Spirits
8032644125929692178;Wine;CHATEAU LARY LACOMBE 2018;Wine > 14 %;Discontinued;Red Wine;Chateau Lary Lacombe;Sovex
6840857811635521318;Distilled Spirits;TAAKA GIN 12/750ML 80PF;Distilled Spirits;;Gin;Taaka Gin;Sazerac Spirits
3435249648591979862;Non-Alcohol;NESQUIK CHOCOLATE 12/14 NR;Non Alcohol;Core;Dairy beverage;Nesquik Chocolate;Nestle
5134758821911887020;Distilled Spirits;FRIS VODKA 12/1/750ML 80PF;Distilled Spirits;;Vodka;Fris Vodka;Sazerac Spirits
6010231009051037648;Package;LOUD LEMON PEACH LEMONADE 12/16 CN;Package;Core;Other Package;Loud Lemon Peach Spiked Sparkling Lemonade;Loud Lemon Beverages
225226431103398738;Distilled Spirits;MR BOSTON TRIPLE SEC 12/1L 30PF;Distilled Spirits;;Liqueurs & Cordials;Mr. Boston Triple Sec Liqueur;Sazerac Spirits
8209520079659014856;Draft;ELEVATED SELTZER POMEGRANATE APPLE 1/6 KEG;Draft;;Other Draft;Elevated Hard Seltzer Pomegranate Apple;Elevated Seltzers
9076997679791476442;Wine;RUFFINO PROSECCO 375ML (BTL);Wine < 14 %;Discontinued;Sparkling Wine;Ruffino Prosecco;National - Cbi
6314883079695650394;Wine;CHATEAU VIEUX MANOIR 2020;Wine < 14 %;Discontinued;Other Wine;Chateau View Manoir;Sovex
8839391412792859892;Package;ELYSIAN SPACE DUST IPA 2/12/12 LN;Package;;IPA;Elysian Space Dust IPA;AB Anheuser Busch Inc
6413896616582140687;Wine;COMPAGNIA DI ERMES CESANESE DI OLEVANO ROMANO SUPERIORE DOC 20;Wine < 14 %;Core;Red Wine;Compagnia di Ermes Cesanese di Olevano Romano Superiore DOC;Small Vineyards
7730272064650711761;Wine;THE NED SAUVIGNON BLANC 2021;Wine < 14 %;Discontinued;White Wine;The Ned Sauvignon Blanc;Quintessential Wines - Wine
197191772944178412;Distilled Spirits;JUAN BONILLA DON FERNANDO REPOSADO 750ML;Distilled Spirits;Discontinued;Tequila / Mezcal;Juan Bonilla Don Fernando Reposado;Juan Bonilla Imports
6115928317690587893;Wine;BLACK BOX CALIFORNIA MERLOT 500ML (BTL);Wine < 14 %;Discontinued;Red Wine;Black Box Merlot;National - Gallo
2926896086804627745;Draft;WICKED WEED BLACK ANGEL 1/6 KEG;Draft;In&Out;Sour / Wild Ale;Wicked Weed Black Angel;AB Anheuser Busch Inc
4540585698577466502;Wine;CAVE & COVE CHARDONNAY;Wine < 14 %;Discontinued;White Wine;Cave & Cove Chardonnay;National - The Wine Group
8879184579246891305;Distilled Spirits;EAGLE RARE BBN-AVON LIQUOR 6/750ML 90PF - 004;Allocated Spirits;Allocated;Bourbon Whiskey;Eagle Rare Single Barrel Kentucky Straight Bourbon Whiskey;Sazerac Spirits
3401820354834362549;Draft;MONDAY NIGHT BREWING SPACE LETTUCE DOUBLE IPA 1/6;Draft;Core;Pale Ale;Monday Night Brewing Space Lettuce Double IPA;Monday Night Brewing
3091641515052314364;Wine;BELLE GROVE CABERNET SAUVIGNON TETRA NV;Wine < 14 %;Close Out;Red Wine;Belle Grove Cabernet Sauvignon Nv;Civ Usa Inc
2485412328688837373;Package;YUENGLING FLIGHT LAGER 15/24 CN;Package;Core;Lager;Yuengling Flight;Yuengling
7013870019115245560;Non-Alcohol;ELECTROLIT ORANGE 12/21OZ NR;Non Alcohol;Core;Other Non-Alcoholic;Electrolit Orange;Electrolit USA
4136970626492745841;Package;OWL'S BREW SPICED CHAI & CRANBERRY 4/6 CN;Package;In&Out;Other Package;Owl's Brew Spiced Chai & Cranberry;Double Brew
6736424809597118581;Wine;SCARPETTA FRICO BIANCO 2021 KEY KEG;Wine < 14 %;Discontinued;White Wine;Scarpetta Frico Bianco IGT Delle Venezie;Scarpetta Wines
1149318055362996030;Wine;TOM GORE SAUVIGNON BLANC 750ML (BTL);Wine < 14 %;Discontinued;White Wine;Tom Gore Sauvignon Blanc;National - Cbi
2310528135899993284;Distilled Spirits;PETITE CANNE SUGAR CANE SYRUP - 500ML;Non Alcohol;Core;Liqueurs & Cordials;Petite Canne Sugar Cane Syrup;Caribbean Spirits
5998943842216724332;Package;BUZZ TEA ORIGINAL 12/24 CN;Package;;Other Package;Geloso Buzz Tea Original;Geloso Beverage Group
7720369747531966099;Package;BRECKENRIDGE JUICE DROP 4/6/12 CN;Package;Discontinued;IPA;Breckenridge Juice Drop Hazy;Tilray Brands
7481034886651419853;Draft;BUDWEISER 1/6 KEG;Draft;Core;Lager / Pilsner;Budweiser;AB Anheuser Busch Inc
3620674245436818138;Distilled Spirits;BUFFALO TRACE BOURBON 12/750ML 90PF;Distilled Spirits;Allocated;Bourbon Whiskey;Buffalo Trace Kentucky Straight Bourbon Whiskey;Sazerac Spirits
1751737440737038045;Wine;DOMAINE PERNOT BELICARD BOURGOGNE ALIGOTE 2019;Wine < 14 %;Specialty;White Wine;Domaine Pernot Belicard Bourgogne Alicote;Catamarca Imports
6385534421545621083;Draft;GOOSE ISLAND 312 1/2 KEG;Draft;In&Out;Wheat Beer;Goose Island 312;AB Anheuser Busch Inc
3129870684929212674;Non-Alcohol;V8 SPLASH STRAWBERRY KIWI 12/16 NR;Non Alcohol;Core;Juice & Tea;V8 Splash Strawberry Kiwi;Campbell Sales Company
2758342616847092940;Package;RED HARE 2HAZY5 IPA 4/6/12 CN;Package;Discontinued;IPA;Red Hare 2Hazy5 IPA;Red Hare Brewing Co
7443946307290145766;ABA Spirits;SAZERAC ICE BOX LONG ISLAND 3 LTR;Wine < 14 %;Close Out;Liqueurs & Cordials;Sazerac Ice Box Long Island Iced Tea;Sazerac ABA
8752194591062402658;Wine;REYNOLDS FAMILY WINERY NAPA VALLEY CHARDONNAY 2019;Wine > 14 %;Discontinued;White Wine;Reynolds Family Winery Napa Valley Chardonnay;Reynolds Family Winery
2976769303754601415;Wine;CHATEAU FRANC MAGNUS 2018;Wine < 14 %;Clearing;Red Wine;Chateau Franc Magnus;Scott Levy
4247815490100925715;Draft;SLOW POUR DARKEST AT MIDNIGHT 1/4 KEG;Draft;In&Out;Stout & Porter;Slow Pour Darkest at Midnight;Slow Pour Brewing Co
2719898279240134250;Wine;QUARA ESTATE CABERNET SAUVIGNON 2016;Wine < 14 %;Discontinued;Red Wine;Quara Estate Cabernet Sauvignon;Pampa Beverages
2073255897354177966;Distilled Spirits;WTD SINGLE BARREL - WHITLOCK PACKAGE RYE BOURBON;Distilled Spirits;In&Out;Bourbon Whiskey;Wilderness Trail Wheated Single Barrel;Campari America LLC - Spirits
1456105259281700686;Package;BRECKENRIDGE HOPPY VARIETY PACK 2/12/12 CN;Package;Discontinued;Other Package;Breckenridge Hoppy Variety Pack;Tilray Brands
2966979742824110752;Package;SLOW POUR PENDULUM SWING PILSNER 6/4/16 CN;Package;In&Out;Lager;Slow Pour Pendulum Swing Pilsner;Slow Pour Brewing Co
6295225817397462150;Distilled Spirits;VA COURAGE & CONVICTION CUVEE CASK #1240 - AUGUSTA & CUMMING;Distilled Spirits;In&Out;Other Spirits;VA Courage & Conviction Cuvee Cask #1240 - Augusta & Cumming;Virgina Distillery Company
1181070191298111541;Non-Alcohol;POPPI PREBIOTIC SODA GINGER LIME 12/12OZ CAN;Non Alcohol;Core;Soda;Poppi Prebiotic Soda Ginger Lime;VNGR Beverage LLC
7081828941363712052;Wine;CHATEAU GRAND PUY LACOSTE 09 CS;Wine < 14 %;Clearing;Red Wine;Chateau Grand Puy Lacoste;Scott Levy
8138943873654359052;Draft;FIRE MAKER CLOSE BUT NO GUITAR HAZY DIPA 1/6 KEG;Draft;In&Out;Pale Ale;Fire Maker Close But No Guitar Hazy DIPA;Fire Maker Brewing Co
256747594915960721;Wine;MONTMARTRE ROSE SPARKLING NV;Wine < 14 %;Core;Sparkling Wine;Montmarte Sparkling Rose;Cannon Wines Limited
117324014722409562;Draft;WILD LEAP ETA TRANSCONTINENTAL IPA 1/2 KEG;Draft;Core;Pale Ale;Wild Leap Eta Transcontinental IPA;Wild Leap Brewing Co
8369508158945814532;Wine;LANDO RUSSIAN RIVER PINOT NOIR 2018;Wine < 14 %;Discontinued;Red Wine;Lando Russian River Pinot Noir;Lando Wines
2780457786232492237;Distilled Spirits;99 BUTTERSCOTCH 24/375ML 99PF;Distilled Spirits;;Liqueurs & Cordials;99 Butterscotch;Sazerac Spirits
2303814743373238466;Distilled Spirits;BUFFALO TRACE BBN NW APPLEJACK 12/750ML 90PF- 301;Allocated Spirits;Allocated;Bourbon Whiskey;Buffalo Trace Kentucky Straight Bourbon Whiskey;Sazerac Spirits
2686791888463968228;Draft;ALPHA ABSTRACTION VOLUME 21 1/6 KEG;Draft;Discontinued;Other Draft;Wild Leap Alpha Abstraction Volume 21;Wild Leap Brewing Co
3148628429396585683;Non-Alcohol;SPARK ICE + CAFFEINE BLACK RASPBERRY 12/16 CN;Non Alcohol;Core;Water;Sparkling Ice + Caffeine Black Raspberry;Talking Rain
4097223800359795077;Package;MONDAY NIGHT BREWING MONDAY SAMPLER 2/12 CN;Package;Core;Other Package;Monday Night Monday Samplers;Monday Night Brewing
2889824695068931724;Package;LEFFE BLONDE 4/6/11.2 LN;Package;Discontinued;Ale;Leffe Blonde;AB Anheuser Busch Inc
752518147256756070;Draft;MARBLE BREWERY DESERT FOG IPA 1/6 KEG;Draft;;Pale Ale;Marble Brewery Desert Fog IPA;Marble Brewery
6319100329502812317;Draft;SLOW POUR LET IT LINGER SOUR 1/4 KEG;Draft;In&Out;Sour / Wild Ale;Slow Pour Let It Linger Sour;Slow Pour Brewing Co
2146075515924740268;Distilled Spirits;MAXIME TRIJOL COGNAC VS;Distilled Spirits;Core;Brandy / Cognac;MAXIME TRIJOL COGNAC VS;Ftd Maxime Trijol
7229698922905957318;Distilled Spirits;PAUL MASSON RED BERRY BRANDY 24/200ML 54PF;Distilled Spirits;;Brandy / Cognac;Paul Masson Red Berry Brandy;Sazerac Spirits
1996982810808301250;Non-Alcohol;BOYLAN TONIC 6/4 NR;Non Alcohol;Core;Mixers;Boylan Tonic;Boylan Soda
8171946423518228205;Distilled Spirits;STELLUM JAMON HAMMER #3 VEGA G2;Distilled Spirits;In&Out;Other Spirits;Barrell Stellum - Private Label;Barrell Craft Spirits
7226081627947572901;Wine;EMBANKMENT CHARDONNAY 2020;Wine > 14 %;Discontinued;White Wine;Embankment Chardonnay 2018;Goldschmidt Vineyards LLC
9149212002603716850;Package;BUD LIGHT LIME 2/12/12 LN;Package;Core;Lager;Bud Light Lime;AB Anheuser Busch Inc
55403465776415499;Draft;REFORMATION DAILY DRAFT SOUTHERN LAGER 1/2 KEG;Draft;In&Out;Lager / Pilsner;Reformation Daily Draft Southern Lager;Reformation Brewery
7566288439686101677;Wine;CAVE & COVE PINK MOSCATO;Wine < 14 %;Discontinued;Rosé Wine;Cave & Cove Pink Moscato;National - The Wine Group
7248205381558171664;Distilled Spirits;FACCIA BRUTTO APERITIVO;Distilled Spirits;Core;Liqueurs & Cordials;Faccia Brutto Aperitivo;T. Edward Wines Ltd
1741639715725613118;Wine;RICH & CREAMY CHARDONNAY 2019;Wine < 14 %;Discontinued;White Wine;Rich & Creamy Chardonnay;Scotto Cellars
1070769297739972270;Package;NB VARIETY PACK 2/12/12 NR;Package;In&Out;Other Package;New Belgium Variety Pack;NB New Belgium
1625728413108820905;Non-Alcohol;BOYLAN CLUB SODA MIXER 6/4/6.8 NR;Non Alcohol;Core;Mixers;Boylan Club Soda;Boylan Soda
7365909944216666473;Wine;CHRISTOPHER MICHAEL CHARDONNAY 2021;Wine < 14 %;Discontinued;White Wine;Christopher Michael Chardonnay;Christopher Michael
5324091415136624022;Non-Alcohol;CALYPSO PINEAPPLE PEACH LIMEADE 12/16 NR;Non Alcohol;Core;Juice & Tea;Calypso Pineapple Peach Limeade;King Juice
7082965750178147343;Distilled Spirits;ANTICA SAMBUCA CLASSIC 6/750ML 76PF;Distilled Spirits;;Other Spirits;Antica;Misc
4820063753620236203;Package;MICHELOB ULTRA PRICKLY PEAR LIME 15/25 CN;Package;Core;Lager;Michelob Ultra Prickly Pear Lime;AB Anheuser Busch Inc
4819642171401440111;Package;WICKED WEED MILK AND COOKIES 4/6/12 CN;Package;Core;Stout & Porter;Wicked Weed Milk N Cookies;AB Anheuser Busch Inc
9049175114129596523;Non-Alcohol;LUZIANNE PEACH TEA W/GINGER 12/18.5OZ BOTTLE;Non Alcohol;Core;Juice & Tea;Luzianne Peach Tea w/Ginger;Reily Beverage Company
4725156854264654523;Wine;REGION 1 MALBEC RESERVE 2016;Wine < 14 %;Discontinued;Red Wine;Region 1 Malbec Reserve;Pampa Beverages
2260900711718376758;Wine;GIOCATO GIO CHARDONNAY 2017;Wine < 14 %;Discontinued;White Wine;Gio Chardonnay;Small Vineyards
8813327383582887;Non-Alcohol;ICELANDIC SPARKLING WATER SICILLIAN LEMON 24/500 M;Non Alcohol;Core;Water;Icelandic Sparkling Water Sicilian Lemon;Icelandic Glacial
7012123898892405789;Distilled Spirits;HAMILTON DEMERARA;Distilled Spirits;Core;Rum;Hamilton Demerara;Caribbean Spirits
7668334717707903886;Distilled Spirits;TUACA LIQUEUR 10/12/50ML PET 70PF;Allocated Spirits;;Liqueurs & Cordials;Tuaca Liqueur Original;Sazerac Spirits
4062130222918496355;Non-Alcohol;G FUEL ENERGY ORANGE VIBE 12/16 CN;Non Alcohol;In&Out;Energy;G Fuel Energy Orange Vibe;G Fuel
1498877667833353659;Draft;JEKYLL SOUR THANGS PASSION FRUIT/GUAVA 1/6 KEG;Draft;In&Out;Sour / Wild Ale;Jekyll Sour Thangs Passion Fruit Guava;Jekyll Brewing
2824525244925804378;Package;10 BARREL NATURE CALLS 4/6/12 CN;Package;Discontinued;IPA;10 Barrel Nature Calls Mountain IPA;Tilray Brands
125716179881387933;Distilled Spirits;BARRELL BOURBON C69C - ROSWELL BEVERAGE;Distilled Spirits;In&Out;Bourbon Whiskey;Barrell Bourbon- Private Label;Barrell Craft Spirits
6680449561613077751;ABA Spirits;FIREBALL MALT CANDY CANES 12/10/50ML;Package;Core;Other ABA Spirits;Fireball Cinnamon-Malt;Sazerac ABA
7884712949950897890;Draft;MONDAY NIGHT BREWING SLAP FIGHT 1/6 KEG;Draft;Core;Pale Ale;Monday Night Slap Fight;Monday Night Brewing
3671278106158235363;Wine;KATE ARNOLD GAMAY NOIR 2020;Wine < 14 %;Specialty;Red Wine;Kate Arnold Gamay;Kate Arnold Wines
5830808090465341992;Wine;CHATEAU LES GRANDS CHENES 15 CS;Wine < 14 %;Clearing;Red Wine;Chateau Bel Air Gloria;Scott Levy
7372535754652902782;Non-Alcohol;HELLA BITTERS & SODA DRY GRAPEFRUIT 12OZ SLIM CANS 6/4PK (48OZ);Non Alcohol;Core;Mixers;Hella Bitters & Soda Dry Grapefruit;Hella Bitter Llc
2218278735132096044;Distilled Spirits;SKOL APPLE VODKA 6/1.75L 60PF;Distilled Spirits;;Vodka;Skol Apple Vodka;Sazerac Spirits
2856123299642740843;Wine;ELEVENELEVEN CHARDONNAY 2019;Wine < 14 %;Discontinued;White Wine;Eleven Eleven Chardonnay;Eleveneleven
7602408837834966245;Non-Alcohol;KITU COLD BREW MOCHA 12/11 CN;Non Alcohol;Core;Other Non-Alcoholic;Super Cold Brew Mocha;AB Anheuser Busch Inc
8751213278937333787;Wine;MAGNIFICO GARNACHA 2021;Wine < 14 %;Discontinued;Rosé Wine;Magnifico Grenache;Bottle Diplomacy
4671471635216278764;Package;GOOSE BOURBON COUNTY STOUT 12/16.9 NR 2019;Package;;Stout & Porter;Goose Island Bourbon County Stout;AB Anheuser Busch Inc
6470206391305850802;Distilled Spirits;FREDDIE'S GINGER ALE N/A 4/6/12 NR;Non Alcohol W&S;;Other Spirits;Freddie's Ginger Ale;Sazerac Spirits
4233244302464747838;Distilled Spirits;WILD LEAP VODKA 1.75L;Distilled Spirits-Domest;Core;Vodka;Wild Leap Vodka;Wild Leap Spirits
6228021684523789896;Distilled Spirits;PARROT BAY WHITE RUM 12/1L 80PF;Distilled Spirits;;Rum;Parrot Bay White Rum;Sazerac Spirits
3129726112036474534;Distilled Spirits;99 RED 10/12/50ML 99PF;Allocated Spirits;;Liqueurs & Cordials;99 Red;Sazerac Spirits
6862144736384713505;Wine;HINDSIGHT 20/20 NAPA VALLEY CABERNET SAUVIGNON 2018;Wine > 14 %;Discontinued;Red Wine;Hindsight 20/20 Napa Valley Cabernet Sauvignon;Hindsight
8233171099943306757;Distilled Spirits;SOUTHERN COMFORT 12/1L 70PF;Distilled Spirits;;Other Spirits;Southern Comfort Whiskey 70;Sazerac Spirits
8949494637656755504;Package;MIGHTY SWELL KEEP IT WEIRD 2/12 CAN;Package;Discontinued;Other Package;Mighty Swell Keep It Weird Spiked Seltzer;Mighty Swell Spiked Seltzer
2991404611635187316;Package;LOVERBOY WHITE TEA PEACH 4/6 11.5OZ CN;Package;Core;Other Package;Loverboy White Tea Peach;Loverboy Inc.
2694240609477593794;Draft;HUTTON & SMITH SCOTCH ALE 1/2 KEG;Draft;In&Out;Other Draft;Hutton & Smith Hutton'S Scotch Ale;Hutton & Smith Brewing Co
3714734988175711423;Wine;GIO PINOT GRIGIO 2021;Wine < 14 %;Discontinued;White Wine;Gio Pinot Grigio;Bottle Diplomacy
4391995186064629960;Draft;REFORMATION HARD SELTZER 1/2 KEG;Draft;In&Out;Other Draft;Reformation Hard Seltzer;Reformation Brewery
2626864159264988174;Package;BUD ICE 12/40 NR;Package;Core;Lager;Bud Ice;AB Anheuser Busch Inc
750305561133864638;Wine;SCHWEIGER CABERNET SAUVIGNON 2016;Wine < 14 %;Discontinued;Red Wine;Schweiger Cabernet Sauvignon;Schweiger
1107179330187932940;Wine;ANTHONY & DOMINIC CHARDONNAY 2016;Wine < 14 %;Discontinued;White Wine;A & D Chardonnay;Scotto Cellars
2873797750924833759;Draft;BELL'S OBERON ALE 1/2 KEG;Draft;Core;Wheat Beer;Bell's Oberon Ale;NB Bell's Brewery
5882357002090313577;Distilled Spirits;BITTERMENS CITRON SAUVAGE 12/375ML 32PF;Non Alcohol W&S;;Other Spirits;Bittermens Citron Sauvage;Sazerac Spirits
2580442908950164104;Distilled Spirits;DRINKWORKS JACK DANIELS VARIETY PACK 12/4/50ML;Distilled Spirits;Core;Ready-to-Drink;Drinkworks Jack Daniels Variety Pack;AB Drinkworks
8231841153272927308;Wine;MELIOR ROBLE 2020;Wine < 14 %;Discontinued;Red Wine;Melior Roble;Matarromera
1962963430662589558;Package;BRECKENRIDGE CHRISTMAS ALE MINI 2/169.1 CAN;Package;Winter Seasonal;Ale;Breckenridge Christmas Ale;Tilray Brands
6894416368197625757;Distilled Spirits;STELLUM VEGA L8 - TOTAL WINE & MORE;Distilled Spirits;In&Out;Other Spirits;Barrell Stellum - Private Label;Barrell Craft Spirits
7456309111799725169;Draft;MONDAY NIGHT BREWING SPACE LETTUCE DOUBLE IPA 1/2;Draft;Core;Pale Ale;Monday Night Brewing Space Lettuce Double IPA;Monday Night Brewing
2871235901756739338;Distilled Spirits;JUAN BONILLA MI TIERRA ANEJO 750ML;Distilled Spirits;Discontinued;Tequila / Mezcal;Juan Bonilla Mi Tierra Anejo;Juan Bonilla Imports
7137887040550752258;Distilled Spirits;SKOL PREMIUM VODKA 12/1L 80PF;Distilled Spirits;;Vodka;Skol Premium Vodka;Sazerac Spirits
2726398662302910677;Wine;SEPPELTSFIELD BAROSSA VALLEY GRENACHE 2019;Wine > 14 %;Discontinued;Red Wine;Seppeltsfield Barossa Valley Grenache;Legend Imports
5366663750568940983;Package;BLACK TOOTH CATTLE KATE SCOTCH ALE 4/6 CAN;Package;;Other Package;Black Tooth Cattle Kate Scotch Ale;Black Tooth Brewing Company
223834683894082292;Distilled Spirits;BARRELL BOURBON #032;Distilled Spirits;Discontinued;Bourbon Whiskey;Barrell Bourbon #032;Barrell Craft Spirits
2338665563046710704;Package;GEL JOHNNY BOOTLEGGER SOUR APPLE 24/200ML;Package;Discontinued;Other Package;Geloso Johnny Bootlegger Alcaraz Sour Apple;Geloso Beverage Group
5626969389367343590;ABA Spirits;SAZERAC FLASH POINT WNBS 1.5 LTR 42PRF;Wine > 14 %;Core;Other ABA Spirits;Sazerac Flash Point;Sazerac ABA
5665634044656779056;Wine;7 DEADLY ZINFANDEL;Wine > 14 %;Discontinued;Red Wine;7 Deadly Zinfandel;National - The Wine Group
3714999485261469418;Package;WICKED WEED CERISE MORTE 12/500ML;Package;In&Out;Sour;Wicked Weed Cerise Morte;AB Anheuser Busch Inc
5638192198528209958;Distilled Spirits;FOUR FREEDOMS CANADIAN WHISKEY 12/750ML 80PF;Distilled Spirits;;Canadian Whisky;Four Freedoms Canadian Whiskey;Sazerac Spirits
8464734504771082071;Wine;BABE 100 VARIETY PACK 4/6/250ML CN;Wine < 14 %;Core;Sparkling Wine;Babe 100 Variety Pack;AB Anheuser Busch Inc
8154941752203386241;Distilled Spirits;WOLFBURN LANGSKIP;Distilled Spirits;Core;Scotch Whisky;Wolfburn Langskip;Pacific Edge Wine & Spirits
3509577731334760460;Wine;TOMASELLO A LA MODE BUTTER PECAN CREAM;Wine > 14 %;Core;Dessert Wine;Tomasello A La Mode Butter Pecan Cream;Tomasello Winery, Inc
1903354842893118430;Package;GOOSE ISLAND TROPICAL BEER HUG 4/6/12 CN;Package;Core;IPA;Goose Island Tropical Beer Hug;AB Anheuser Busch Inc
703421932303314804;Distilled Spirits;BARTON GOLD RUM 12/1L 80PF;Distilled Spirits;;Rum;Barton Gold Rum;Sazerac Spirits
723926829345320325;Wine;THE MESSENGER RESERVE CABERNET SAUVIGNON 2018;Wine > 14 %;Clearing;Red Wine;The Messenger Reserve Cabernet Sauvignon;Art+Farm Wine
1370951740884830806;Package;GOOSE ISLAND SHEA COUL-ALE 6/4/16 CN;Package;In&Out;Wheat Beer;Goose Island Shea Coul-Ale;AB Anheuser Busch Inc
6552264047707750914;Wine;CHRONOLOGY RED BLEND 2019;Wine < 14 %;Discontinued;Red Wine;Secret Indulgence Chronology Red;Boisset Family Estates
1676197584014861650;Draft;PORTLAND CIDER BLUEBERRY BOURBON 1/6 BBL;Draft;;Hard Cider;Portland Cider Blueberry Bourbon Basil;Portland Cider Company
4590850487686220235;Wine;DOMAINE DE VERNUS MORGON 2020;Wine < 14 %;Discontinued;Red Wine;Domaine de Vernus Morgon;Dns Wines
